grupo,fecha_turno,equipo,shiftdate,hora_exacta,duracion,razon,turno,hora,hos,mes,timestamp_ingesta
G3,11-ENE-2023 A,PA05,2023-01-11T00:00:00.000+0000,06:21:10,847,Traslado,A,6,9,202301,2023-09-06T01:55:45.239+0000
G3,11-ENE-2023 A,CF10,2023-01-11T00:00:00.000+0000,06:47:48,2740,Traslado,A,6,9,202301,2023-09-06T01:55:45.239+0000
G3,11-ENE-2023 A,PA11,2023-01-11T00:00:00.000+0000,07:20:06,691,Traslado,A,7,10,202301,2023-09-06T01:55:45.239+0000
G3,11-ENE-2023 A,PA11,2023-01-11T00:00:00.000+0000,23:00:33,807,Traslado,A,23,2,202301,2023-09-06T01:55:45.239+0000
G4,12-ENE-2023 B,PA05,2023-01-12T00:00:00.000+0000,20:31:34,908,Traslado,B,20,11,202301,2023-09-06T01:55:45.239+0000
G4,12-ENE-2023 B,PA05,2023-01-12T00:00:00.000+0000,18:44:08,2562,Traslado,B,18,9,202301,2023-09-06T01:55:45.239+0000
G4,12-ENE-2023 B,CF10,2023-01-12T00:00:00.000+0000,09:25:47,5141,Traslado,B,9,0,202301,2023-09-06T01:55:45.239+0000
G4,12-ENE-2023 B,BH12,2023-01-12T00:00:00.000+0000,19:41:43,885,Traslado,B,19,10,202301,2023-09-06T01:55:45.239+0000
G3,12-ENE-2023 A,CF11,2023-01-12T00:00:00.000+0000,21:40:16,4191,Traslado,A,21,0,202301,2023-09-06T01:55:45.239+0000
G3,12-ENE-2023 A,PA03,2023-01-12T00:00:00.000+0000,23:46:13,1538,Traslado,A,23,2,202301,2023-09-06T01:55:45.239+0000
G3,12-ENE-2023 A,PA03,2023-01-12T00:00:00.000+0000,21:05:36,1373,Traslado,A,21,0,202301,2023-09-06T01:55:45.239+0000
G3,12-ENE-2023 A,PA05,2023-01-12T00:00:00.000+0000,23:12:42,692,Traslado,A,23,2,202301,2023-09-06T01:55:45.239+0000
G3,12-ENE-2023 A,PA11,2023-01-12T00:00:00.000+0000,08:21:00,617,Traslado,A,8,11,202301,2023-09-06T01:55:45.239+0000
G3,12-ENE-2023 A,PA11,2023-01-12T00:00:00.000+0000,07:14:11,601,Traslado,A,7,10,202301,2023-09-06T01:55:45.239+0000
G3,12-ENE-2023 A,PA05,2023-01-12T00:00:00.000+0000,07:29:00,1259,Traslado,A,7,10,202301,2023-09-06T01:55:45.239+0000
G4,13-ENE-2023 B,PA10,2023-01-13T00:00:00.000+0000,20:21:40,691,Traslado,B,20,11,202301,2023-09-06T01:55:45.239+0000
G4,13-ENE-2023 B,CF11,2023-01-13T00:00:00.000+0000,11:57:03,1115,Traslado,B,11,2,202301,2023-09-06T01:55:45.239+0000
G4,13-ENE-2023 B,PA07,2023-01-13T00:00:00.000+0000,19:13:56,1500,Traslado,B,19,10,202301,2023-09-06T01:55:45.239+0000
G4,13-ENE-2023 B,PA07,2023-01-13T00:00:00.000+0000,18:07:13,1064,Traslado,B,18,9,202301,2023-09-06T01:55:45.239+0000
G4,13-ENE-2023 B,CF11,2023-01-13T00:00:00.000+0000,18:36:56,5156,Traslado,B,18,9,202301,2023-09-06T01:55:45.239+0000
G4,13-ENE-2023 B,CF10,2023-01-13T00:00:00.000+0000,09:47:33,3842,Traslado,B,9,0,202301,2023-09-06T01:55:45.239+0000
G3,13-ENE-2023 A,CF11,2023-01-13T00:00:00.000+0000,21:30:52,5270,Traslado,A,21,0,202301,2023-09-06T01:55:45.239+0000
G3,13-ENE-2023 A,PA07,2023-01-13T00:00:00.000+0000,21:01:43,14473,Traslado,A,21,0,202301,2023-09-06T01:55:45.239+0000
G4,13-ENE-2023 B,PA11,2023-01-13T00:00:00.000+0000,20:01:48,753,Traslado,B,20,11,202301,2023-09-06T01:55:45.239+0000
G4,14-ENE-2023 B,PA05,2023-01-14T00:00:00.000+0000,10:29:17,1282,Traslado,B,10,1,202301,2023-09-06T01:55:45.239+0000
G4,14-ENE-2023 B,BH12,2023-01-14T00:00:00.000+0000,09:00:00,23222,Traslado,B,9,0,202301,2023-09-06T01:55:45.239+0000
G4,14-ENE-2023 B,PA07,2023-01-14T00:00:00.000+0000,10:19:27,697,Traslado,B,10,1,202301,2023-09-06T01:55:45.239+0000
G4,14-ENE-2023 B,PA11,2023-01-14T00:00:00.000+0000,20:01:22,613,Traslado,B,20,11,202301,2023-09-06T01:55:45.239+0000
G3,14-ENE-2023 A,PA10,2023-01-14T00:00:00.000+0000,22:24:18,716,Traslado,A,22,1,202301,2023-09-06T01:55:45.239+0000
G3,14-ENE-2023 A,BH12,2023-01-14T00:00:00.000+0000,06:24:40,8889,Traslado,A,6,9,202301,2023-09-06T01:55:45.239+0000
G3,14-ENE-2023 A,PA11,2023-01-14T00:00:00.000+0000,08:26:27,795,Traslado,A,8,11,202301,2023-09-06T01:55:45.239+0000
G3,14-ENE-2023 A,PA11,2023-01-14T00:00:00.000+0000,07:01:08,625,Traslado,A,7,10,202301,2023-09-06T01:55:45.239+0000
G3,14-ENE-2023 A,PA05,2023-01-14T00:00:00.000+0000,06:58:04,641,Traslado,A,6,9,202301,2023-09-06T01:55:45.239+0000
G3,14-ENE-2023 A,PA10,2023-01-14T00:00:00.000+0000,06:25:54,674,Traslado,A,6,9,202301,2023-09-06T01:55:45.239+0000
G4,15-ENE-2023 B,PA10,2023-01-15T00:00:00.000+0000,18:27:12,780,Traslado,B,18,9,202301,2023-09-06T01:55:45.239+0000
G3,15-ENE-2023 A,CF11,2023-01-15T00:00:00.000+0000,07:37:27,792,Traslado,A,7,10,202301,2023-09-06T01:55:45.239+0000
G3,15-ENE-2023 A,CF11,2023-01-15T00:00:00.000+0000,06:45:52,1447,Traslado,A,6,9,202301,2023-09-06T01:55:45.239+0000
G3,15-ENE-2023 A,PA07,2023-01-15T00:00:00.000+0000,08:33:18,732,Traslado,A,8,11,202301,2023-09-06T01:55:45.239+0000
G3,15-ENE-2023 A,CF11,2023-01-15T00:00:00.000+0000,21:45:48,1479,Traslado,A,21,0,202301,2023-09-06T01:55:45.239+0000
G3,15-ENE-2023 A,CF11,2023-01-15T00:00:00.000+0000,22:39:20,1419,Traslado,A,22,1,202301,2023-09-06T01:55:45.239+0000
G3,15-ENE-2023 A,CF11,2023-01-15T00:00:00.000+0000,23:38:30,2779,Traslado,A,23,2,202301,2023-09-06T01:55:45.239+0000
G4,15-ENE-2023 B,PA07,2023-01-15T00:00:00.000+0000,10:11:26,2329,Traslado,B,10,1,202301,2023-09-06T01:55:45.239+0000
G4,15-ENE-2023 B,CF11,2023-01-15T00:00:00.000+0000,20:13:12,2384,Traslado,B,20,11,202301,2023-09-06T01:55:45.239+0000
G4,15-ENE-2023 B,PA10,2023-01-15T00:00:00.000+0000,11:20:10,790,Traslado,B,11,2,202301,2023-09-06T01:55:45.239+0000
G4,16-ENE-2023 B,PA04,2023-01-16T00:00:00.000+0000,18:03:05,1006,Traslado,B,18,9,202301,2023-09-06T01:55:45.239+0000
G4,16-ENE-2023 B,PA04,2023-01-16T00:00:00.000+0000,18:36:10,652,Traslado,B,18,9,202301,2023-09-06T01:55:45.239+0000
G4,16-ENE-2023 B,PA05,2023-01-16T00:00:00.000+0000,19:00:52,1196,Traslado,B,19,10,202301,2023-09-06T01:55:45.239+0000
G3,16-ENE-2023 A,CF11,2023-01-16T00:00:00.000+0000,08:39:29,1231,Traslado,A,8,11,202301,2023-09-06T01:55:45.239+0000
G4,16-ENE-2023 B,PA05,2023-01-16T00:00:00.000+0000,20:27:14,1013,Traslado,B,20,11,202301,2023-09-06T01:55:45.239+0000
G3,16-ENE-2023 A,PA11,2023-01-16T00:00:00.000+0000,08:01:57,1067,Traslado,A,8,11,202301,2023-09-06T01:55:45.239+0000
G3,16-ENE-2023 A,CF11,2023-01-16T00:00:00.000+0000,23:43:30,2242,Traslado,A,23,2,202301,2023-09-06T01:55:45.239+0000
G3,16-ENE-2023 A,CF11,2023-01-16T00:00:00.000+0000,07:07:31,1560,Traslado,A,7,10,202301,2023-09-06T01:55:45.239+0000
